,name,classes,samples_per_class,samples_total,dimensionality,dr_name,dr_learning,dr_transformation,dr_structure,clf_name,clf_accuracy,clf_kappa,clf_balanced_accuracy
31,wine,3,"{'class_0': 59, 'class_1': 71}",178,13,SUP PCA,learning.supervised,transformation.linear,structure.global_structure,Gaussian Process,0.9775280898876404,0.9657164869029276,0.9800950683303625
32,wine,3,"{'class_0': 59, 'class_1': 71}",178,13,SUP PCA,learning.supervised,transformation.linear,structure.global_structure,Random Forest Classifier,0.9550561797752809,0.9315516246875601,0.9598930481283423
33,wine,3,"{'class_0': 59, 'class_1': 71}",178,13,PLS_Regression,learning.supervised,transformation.linear,structure.global_structure,KNN,0.9550561797752809,0.9314065510597302,0.9548425430778372
34,wine,3,"{'class_0': 59, 'class_1': 71}",178,13,PLS_Regression,learning.supervised,transformation.linear,structure.global_structure,SMV,0.9438202247191011,0.9142416650607054,0.9447415329768271
35,wine,3,"{'class_0': 59, 'class_1': 71}",178,13,PLS_Regression,learning.supervised,transformation.linear,structure.global_structure,Naive Bayes,0.898876404494382,0.8456944712001542,0.9052287581699346
36,wine,3,"{'class_0': 59, 'class_1': 71}",178,13,PLS_Regression,learning.supervised,transformation.linear,structure.global_structure,Decision Tree,0.8876404494382022,0.8285163776493256,0.8900772430184195
37,wine,3,"{'class_0': 59, 'class_1': 71}",178,13,PLS_Regression,learning.supervised,transformation.linear,structure.global_structure,Quadratic Discriminant,0.9550561797752809,0.9310878823073945,0.9494949494949495
38,wine,3,"{'class_0': 59, 'class_1': 71}",178,13,PLS_Regression,learning.supervised,transformation.linear,structure.global_structure,MPL Classifier,0.9438202247191011,0.9136592937524253,0.9343434343434344
39,wine,3,"{'class_0': 59, 'class_1': 71}",178,13,PLS_Regression,learning.supervised,transformation.linear,structure.global_structure,Gaussian Process,0.9325842696629213,0.8968514583735754,0.9295900178253119
40,wine,3,"{'class_0': 59, 'class_1': 71}",178,13,PLS_Regression,learning.supervised,transformation.linear,structure.global_structure,Random Forest Classifier,0.9662921348314607,0.9486933128362798,0.9702911467617351
