,name,classes,samples_per_class,samples_total,dimensionality,dr_name,dr_learning,dr_transformation,dr_structure,clf_name,clf_accuracy,clf_kappa,clf_balanced_accuracy
34,pwLinear,2,"{'P': 103, 'N': 97}",200,10,PLS_Regression,learning.supervised,transformation.linear,structure.global_structure,SMV,0.87,0.74,0.87
35,pwLinear,2,"{'P': 103, 'N': 97}",200,10,PLS_Regression,learning.supervised,transformation.linear,structure.global_structure,Naive Bayes,0.88,0.76,0.88
36,pwLinear,2,"{'P': 103, 'N': 97}",200,10,PLS_Regression,learning.supervised,transformation.linear,structure.global_structure,Decision Tree,0.75,0.5,0.75
37,pwLinear,2,"{'P': 103, 'N': 97}",200,10,PLS_Regression,learning.supervised,transformation.linear,structure.global_structure,Quadratic Discriminant,0.88,0.76,0.88
38,pwLinear,2,"{'P': 103, 'N': 97}",200,10,PLS_Regression,learning.supervised,transformation.linear,structure.global_structure,MPL Classifier,0.89,0.78,0.8899999999999999
39,pwLinear,2,"{'P': 103, 'N': 97}",200,10,PLS_Regression,learning.supervised,transformation.linear,structure.global_structure,Gaussian Process,0.87,0.74,0.87
40,pwLinear,2,"{'P': 103, 'N': 97}",200,10,PLS_Regression,learning.supervised,transformation.linear,structure.global_structure,Random Forest Classifier,0.75,0.5,0.75
41,breast_cancer,2,"{'malignant': 212, 'benign': 357}",569,30,Sup K-ISOMAP,learning.supervised,transformation.nonlinear,structure.local_structure,KNN,1.0,1.0,1.0
42,breast_cancer,2,"{'malignant': 212, 'benign': 357}",569,30,Sup K-ISOMAP,learning.supervised,transformation.nonlinear,structure.local_structure,SMV,1.0,1.0,1.0
43,breast_cancer,2,"{'malignant': 212, 'benign': 357}",569,30,Sup K-ISOMAP,learning.supervised,transformation.nonlinear,structure.local_structure,Naive Bayes,1.0,1.0,1.0
44,breast_cancer,2,"{'malignant': 212, 'benign': 357}",569,30,Sup K-ISOMAP,learning.supervised,transformation.nonlinear,structure.local_structure,Decision Tree,0.9894736842105263,0.976841192881714,0.9919786096256684
45,breast_cancer,2,"{'malignant': 212, 'benign': 357}",569,30,Sup K-ISOMAP,learning.supervised,transformation.nonlinear,structure.local_structure,Quadratic Discriminant,1.0,1.0,1.0
46,breast_cancer,2,"{'malignant': 212, 'benign': 357}",569,30,Sup K-ISOMAP,learning.supervised,transformation.nonlinear,structure.local_structure,MPL Classifier,1.0,1.0,1.0
47,breast_cancer,2,"{'malignant': 212, 'benign': 357}",569,30,Sup K-ISOMAP,learning.supervised,transformation.nonlinear,structure.local_structure,Gaussian Process,1.0,1.0,1.0
48,breast_cancer,2,"{'malignant': 212, 'benign': 357}",569,30,Sup K-ISOMAP,learning.supervised,transformation.nonlinear,structure.local_structure,Random Forest Classifier,1.0,1.0,1.0
49,breast_cancer,2,"{'malignant': 212, 'benign': 357}",569,30,LDAcompNone,learning.unsupervised,transformation.linear,structure.global_structure,KNN,0.9824561403508771,0.9612149914264718,0.9817745279930155
50,breast_cancer,2,"{'malignant': 212, 'benign': 357}",569,30,LDAcompNone,learning.unsupervised,transformation.linear,structure.global_structure,SMV,0.9789473684210527,0.9531172890278006,0.9742442431518061
51,breast_cancer,2,"{'malignant': 212, 'benign': 357}",569,30,LDAcompNone,learning.unsupervised,transformation.linear,structure.global_structure,Naive Bayes,0.9789473684210527,0.9531172890278006,0.9742442431518061
52,breast_cancer,2,"{'malignant': 212, 'benign': 357}",569,30,LDAcompNone,learning.unsupervised,transformation.linear,structure.global_structure,Decision Tree,0.9649122807017544,0.9233582531060076,0.9684055440357962
53,breast_cancer,2,"{'malignant': 212, 'benign': 357}",569,30,LDAcompNone,learning.unsupervised,transformation.linear,structure.global_structure,Quadratic Discriminant,0.9789473684210527,0.9531172890278006,0.9742442431518061
54,breast_cancer,2,"{'malignant': 212, 'benign': 357}",569,30,LDAcompNone,learning.unsupervised,transformation.linear,structure.global_structure,MPL Classifier,0.9824561403508771,0.9610261740010393,0.9793462839681326
55,breast_cancer,2,"{'malignant': 212, 'benign': 357}",569,30,LDAcompNone,learning.unsupervised,transformation.linear,structure.global_structure,Gaussian Process,0.9824561403508771,0.9610261740010393,0.9793462839681326
56,breast_cancer,2,"{'malignant': 212, 'benign': 357}",569,30,LDAcompNone,learning.unsupervised,transformation.linear,structure.global_structure,Random Forest Classifier,0.9649122807017544,0.9233582531060076,0.9684055440357962
57,breast_cancer,2,"{'malignant': 212, 'benign': 357}",569,30,LDA,learning.supervised,transformation.linear,structure.global_structure,KNN,0.9824561403508771,0.9612149914264718,0.9817745279930155
58,breast_cancer,2,"{'malignant': 212, 'benign': 357}",569,30,LDA,learning.supervised,transformation.linear,structure.global_structure,SMV,0.9789473684210527,0.9531172890278006,0.9742442431518061
